,起点城市,起点城市所属地级市,起点城市所属省份,起点机场,终点城市,终点城市所属地级市,终点城市所属省份,终点机场,航空公司,航班,机型,出发时间,到达时间,准点率,班次_周一,班次_周二,班次_周三,班次_周四,班次_周五,班次_周六,班次_周日
264,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,南方航空,CZ6917,波音737MAX8（中型）,13:45,15:55,86%,1,1,1,1,1,1,1
265,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,厦门航空,MF4592,,13:45,15:55,88%,1,1,1,1,1,1,1
266,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,南方航空,CZ5030,波音737-800（中型）,18:40,20:45,77%,1,0,1,0,1,1,0
267,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,厦门航空,MF8056,波音737-800（中型）,18:40,20:45,77%,1,0,1,0,1,1,0
268,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,河北航空,NS8056,波音737（中型）,18:40,20:45,77%,1,0,1,0,1,1,0
269,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,祥鹏航空,8L9743,波音737（中型）,18:55,21:00,84%,1,0,1,0,1,0,1
270,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,天津航空,GS7419,空中客车A320（中型）,18:55,20:55,71%,0,1,0,1,0,1,0
271,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,西部航空,PN6377,空中客车A320（中型）,19:45,22:05,86%,0,1,0,1,0,1,0
272,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,南方航空,CZ5179,波音737-800（中型）,22:00,23:55,68%,0,1,0,1,1,0,1
273,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,厦门航空,MF8130,波音737-800（中型）,22:00,23:55,68%,0,1,0,1,1,0,1
274,郑州,郑州市,河南省,郑州新郑国际机场T2,福州,福州市,福建省,福州长乐国际机场,河北航空,NS8130,,22:00,23:55,68%,0,1,0,1,1,0,1
275,北海,北海市,广西壮族自治区,北海福成机场,深圳,深圳市,广东省,深圳宝安国际机场T3,吉祥航空,HO1260,全新A320舒适飞行（中型）,23:55,1:15,98%,1,1,1,1,1,1,0
276,北海,北海市,广西壮族自治区,北海福成机场,深圳,深圳市,广东省,深圳宝安国际机场T3,吉祥航空,HO1260,全新A320舒适飞行（中型）,23:55,1:20,98%,0,0,0,0,0,0,1
277,北海,北海市,广西壮族自治区,北海福成机场,深圳,深圳市,广东省,深圳宝安国际机场T3,深圳航空,ZH5068,空中客车A321（中型）,23:55,1:15,98%,1,1,1,1,1,1,0
278,北海,北海市,广西壮族自治区,北海福成机场,深圳,深圳市,广东省,深圳宝安国际机场T3,深圳航空,ZH5068,空中客车A321（中型）,23:55,1:20,98%,0,0,0,0,0,0,1
279,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,瑞丽航空,DR6562,波音737（中型）,7:50,10:45,98%,1,1,1,1,1,1,1
280,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,中国国航,CA3485,空中客车A320（中型）,8:25,11:00,89%,1,1,1,1,1,1,1
281,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,吉祥航空,HO3801,,8:25,11:00,89%,1,1,1,1,1,1,1
282,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,昆明航空,KY9701,空中客车A320（中型）,8:25,11:00,89%,1,1,1,1,1,1,1
283,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,山东航空,SC9701,,8:25,11:00,89%,1,1,1,1,1,1,1
284,沈阳,沈阳市,辽宁省,沈阳桃仙国际机场T3,南通,南通市,江苏省,南通兴东国际机场,深圳航空,ZH9701,空中客车A320（中型）,8:25,11:00,89%,1,1,1,1,1,1,1
285,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,惠州,惠州市,广东省,惠州平潭机场,吉祥航空,HO1141,全新A320舒适飞行（中型）,17:40,19:25,91%,1,1,1,1,1,1,1
286,张家界,张家界市,湖南省,张家界荷花机场T2,海口,海口市,海南省,海口美兰国际机场,桂林航空,GT1005,空中客车A320（中型）,21:30,23:20,89%,0,1,0,1,0,1,0
287,西昌,凉山彝族自治州,四川省,西昌青山机场,重庆,,重庆市,重庆江北国际机场T3,南方航空,CZ5087,波音737（中型）,14:05,15:30,97%,0,1,0,1,1,0,1
288,西昌,凉山彝族自治州,四川省,西昌青山机场,重庆,,重庆市,重庆江北国际机场T3,南方航空,CZ5184,波音737（中型）,14:05,15:30,98%,1,0,1,0,0,1,0
289,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,青岛航空,QW9859,空中客车A320（中型）,10:30,13:20,80%,1,1,1,1,1,1,1
290,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,东方航空,MU2448,空中客车A320（中型）,11:55,14:45,86%,1,1,1,1,1,1,1
291,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,南方航空,CZ5169,波音737-800（中型）,12:10,14:50,73%,1,1,1,1,1,1,1
292,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,厦门航空,MF8245,波音737-800（中型）,12:10,14:50,73%,1,1,1,1,1,1,1
293,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,东方航空,MU8589,,12:10,14:50,73%,1,1,1,1,1,1,1
294,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,河北航空,NS8245,,12:10,14:50,73%,1,1,1,1,1,1,1
295,南京,南京市,江苏省,南京禄口国际机场T2,兰州,兰州市,甘肃省,兰州中川机场T2,东方航空,MU9680,空中客车A320（中型）,16:10,19:05,75%,1,1,1,1,1,1,1
296,抚远,佳木斯市,黑龙江省,抚远东极机场,上海,,上海市,上海浦东国际机场T2,中国国航,CA1984,空中客车A321（中型）,13:30,19:30,100%,1,0,1,0,1,0,1
297,抚远,佳木斯市,黑龙江省,抚远东极机场,上海,,上海市,上海浦东国际机场T2,深圳航空,ZH1984,空中客车A320（中型）,13:30,19:30,100%,1,0,1,0,1,0,1
298,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,幸福航空,JR1661,新舟60（小型）,7:30,8:30,97%,1,1,1,1,1,1,1
299,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,幸福航空,JR1581,新舟60（小型）,8:35,9:35,97%,1,1,1,1,1,1,1
300,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,天津航空,GS6408,,9:55,10:45,86%,0,0,1,0,0,0,1
301,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,幸福航空,JR1583,新舟60（小型）,11:40,12:40,97%,1,1,1,1,1,1,1
302,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,东方航空,MU5767,波音737-800（中型）,13:15,14:10,93%,1,1,1,1,1,1,1
303,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,幸福航空,JR1585,新舟60（小型）,14:40,15:40,95%,1,1,1,1,1,1,1
304,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,幸福航空,JR1587,新舟60（小型）,17:35,18:35,97%,1,1,1,1,1,1,1
305,烟台,烟台市,山东省,烟台蓬莱国际机场,大连,大连市,辽宁省,大连周水子国际机场,天津航空,GS6402,巴西航空工业公司195（中型）,18:30,19:20,71%,0,1,0,1,0,1,0
306,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,安庆,安庆市,安徽省,安庆天柱山机场,福州航空,FU6637,波音737-800（中型）,9:20,12:45,95%,0,1,0,1,0,1,0
307,海口,海口市,海南省,海口美兰国际机场,十堰,十堰市,湖北省,十堰武当山机场,北部湾航空,GX7851,空中客车A320（中型）,17:45,20:25,75%,1,0,1,0,1,0,0
308,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,祥鹏航空,8L9780,波音737（中型）,11:50,14:25,82%,1,1,1,1,1,1,1
309,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,四川航空,3U8132,空中客车A320（中型）,13:20,15:45,73%,1,0,1,0,1,0,1
310,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,西部航空,PN6441,空中客车A320（中型）,13:45,16:10,84%,1,1,1,1,1,1,1
311,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,南方航空,CZ5363,波音737-800（中型）,18:35,21:00,71%,1,1,1,1,1,1,1
312,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,厦门航空,MF8463,波音737-800（中型）,18:35,21:00,73%,1,1,1,1,1,1,1
313,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,河北航空,NS8463,,18:35,21:00,73%,1,1,1,1,1,1,1
314,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,中国国航,CA8430,,22:45,1:10,71%,1,1,1,1,1,1,1
315,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T1,华夏航空,G56170,波音737-800（中型）,22:45,1:10,71%,1,1,1,1,1,1,1
316,泉州,泉州市,福建省,泉州晋江机场,贵阳,贵阳市,贵州省,贵阳龙洞堡国际机场T2,山东航空,SC8430,波音737-800（中型）,22:45,1:10,71%,1,1,1,1,1,1,1
317,大同,大同市,山西省,大同云冈机场,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,中国国航,CA8757,,14:45,16:50,97%,0,1,0,1,0,1,0
318,大同,大同市,山西省,大同云冈机场,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,山东航空,SC8757,波音737-800（中型）,14:45,16:50,97%,0,1,0,1,0,1,0
319,大同,大同市,山西省,大同云冈机场,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,中国国航,CA8757,,14:55,17:00,97%,1,0,1,0,1,0,1
320,大同,大同市,山西省,大同云冈机场,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,山东航空,SC8757,波音737-800（中型）,14:55,17:00,97%,1,0,1,0,1,0,1
321,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,厦门航空,MF7055,巴西航空工业公司190（中型）,9:30,10:50,88%,0,1,0,1,0,1,1
322,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,河北航空,NS3291,巴西航空工业公司190（中型）,9:30,10:50,88%,0,1,0,1,0,1,1
323,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,厦门航空,MF7055,巴西航空工业公司190（中型）,9:40,11:00,88%,1,0,0,0,0,0,0
324,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,河北航空,NS3291,巴西航空工业公司190（中型）,9:40,11:00,88%,1,0,0,0,0,0,0
325,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,厦门航空,MF7055,巴西航空工业公司190（中型）,18:55,20:15,88%,0,0,1,0,1,0,0
326,秦皇岛,秦皇岛市,河北省,秦皇岛北戴河机场,青岛,青岛市,山东省,青岛流亭国际机场T1,河北航空,NS3291,巴西航空工业公司190（中型）,18:55,20:15,88%,0,0,1,0,1,0,0
327,怀化,怀化市,湖南省,怀化芷江机场,天津,,天津市,天津滨海国际机场T2,东海航空,DZ6245,波音737-800（中型）,15:25,17:55,93%,1,0,1,0,1,0,1
328,舟山,舟山市,浙江省,舟山普陀山机场,上饶,上饶市,江西省,上饶三清山机场,成都航空,EU6674,新支线ARJ21（小型）,15:05,16:25,93%,0,1,0,1,0,1,0
329,舟山,舟山市,浙江省,舟山普陀山机场,上饶,上饶市,江西省,上饶三清山机场,成都航空,EU6674,新支线ARJ21（小型）,16:55,18:15,93%,1,0,1,0,1,0,1
330,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,中国国航,CA8973,波音737-300（中型）,7:50,9:20,93%,1,0,1,0,1,0,1
331,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,华夏航空,G54498,波音737-300（中型）,7:50,9:20,93%,1,0,1,0,1,0,1
332,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,深圳航空,ZH4773,,7:50,9:20,93%,1,0,1,0,1,0,1
333,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,长龙航空,GJ8742,空中客车A320（中型）,12:15,13:40,89%,1,0,1,0,1,0,1
334,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,东海航空,DZ6242,波音737-800（中型）,15:30,16:55,95%,1,0,1,0,1,0,1
335,大连,大连市,辽宁省,大连周水子国际机场,连云港,连云港市,江苏省,连云港白塔埠机场,长安航空,9H8368,波音737-800（中型）,18:40,20:10,100%,0,1,0,1,0,1,0
336,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,常州,常州市,江苏省,常州奔牛机场,四川航空,3U8325,空中客车A320（中型）,6:45,9:50,89%,0,0,0,1,0,1,0
337,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,常州,常州市,江苏省,常州奔牛机场,吉祥航空,HO3822,,8:25,11:30,95%,1,1,1,1,1,1,1
338,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,常州,常州市,江苏省,常州奔牛机场,昆明航空,KY9792,空中客车A320（中型）,8:25,11:30,95%,1,1,1,1,1,1,1
339,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,常州,常州市,江苏省,常州奔牛机场,深圳航空,ZH9676,波音737-800（中型）,8:25,11:30,95%,1,1,1,1,1,1,1
340,哈尔滨,哈尔滨市,黑龙江省,哈尔滨太平国际机场T2,常州,常州市,江苏省,常州奔牛机场,四川航空,3U8325,空中客车A320（中型）,10:55,14:10,89%,1,0,1,0,0,0,1
341,泉州,泉州市,福建省,泉州晋江机场,青岛,青岛市,山东省,青岛流亭国际机场T1,南方航空,CZ5380,波音737-800（中型）,11:40,14:10,100%,0,1,1,1,1,1,1
342,泉州,泉州市,福建省,泉州晋江机场,青岛,青岛市,山东省,青岛流亭国际机场T1,厦门航空,MF8097,波音737-800（中型）,11:40,14:10,100%,0,1,1,1,1,1,1
343,泉州,泉州市,福建省,泉州晋江机场,青岛,青岛市,山东省,青岛流亭国际机场T1,河北航空,NS8097,,11:40,14:10,100%,0,1,1,1,1,1,1
344,泉州,泉州市,福建省,泉州晋江机场,青岛,青岛市,山东省,青岛流亭国际机场T1,青岛航空,QW9908,空中客车A320-212（中型）,20:50,23:15,100%,0,1,0,0,0,1,0
345,海口,海口市,海南省,海口美兰国际机场,张家界,张家界市,湖南省,张家界荷花机场T2,桂林航空,GT1006,空中客车A320（中型）,11:35,13:40,95%,0,1,0,1,0,1,0
346,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU9638,空中客车A320（中型）,10:15,12:35,100%,0,0,0,0,0,0,1
347,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU9638,空中客车A320（中型）,12:40,15:10,100%,0,0,0,0,1,0,0
348,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU9638,空中客车A320（中型）,13:40,16:15,100%,0,0,1,0,0,0,0
349,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,东方航空,MU9638,空中客车A320（中型）,15:00,17:15,100%,1,0,0,0,0,0,0
350,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,中国国航,CA4238,空中客车A319（中型）,22:20,0:40,97%,1,1,1,1,1,1,1
351,湛江,湛江市,广东省,湛江机场,成都,成都市,四川省,成都双流国际机场T2,西藏航空,TV6332,,22:20,0:40,97%,1,1,1,1,1,1,1
352,衢州,衢州市,浙江省,衢州机场,青岛,青岛市,山东省,青岛流亭国际机场T1,中国国航,CA8424,,10:10,12:00,77%,0,1,0,1,0,1,0
353,衢州,衢州市,浙江省,衢州机场,青岛,青岛市,山东省,青岛流亭国际机场T1,山东航空,SC8424,波音737-800（中型）,10:10,12:00,77%,0,1,0,1,0,1,0
354,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1701,空中客车A321（中型）,6:45,9:15,100%,1,1,1,1,1,1,1
355,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1701,空中客车A321（中型）,6:45,9:15,100%,1,1,1,1,1,1,1
356,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ9264,空中客车A320（中型）,7:10,9:40,100%,1,1,1,1,1,1,1
357,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU5131,空中客车A320（中型）,7:10,9:40,100%,1,1,1,1,1,1,1
358,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1703,空中客车A321（中型）,8:20,10:40,95%,1,1,1,1,1,1,1
359,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1703,空中客车A321（中型）,8:20,10:40,95%,1,1,1,1,1,1,1
360,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1711,空中客车A330（大型）,9:15,11:30,97%,1,1,1,1,1,1,1
361,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1711,空中客车A321（中型）,9:15,11:30,97%,1,1,1,1,1,1,1
362,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,上海航空,FM9157,波音737-900ER（中型）,9:35,12:10,93%,1,1,1,1,1,1,1
363,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU9157,波音737-900ER（中型）,9:35,12:10,93%,1,1,1,1,1,1,1
364,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1186,,10:10,12:25,98%,1,1,1,1,1,1,1
365,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,山东航空,SC1186,波音737-800（中型）,10:10,12:25,98%,1,1,1,1,1,1,1
366,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1510,空中客车A321（中型）,10:55,13:20,97%,1,1,1,1,1,1,1
367,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1510,空中客车A321（中型）,10:55,13:20,97%,1,1,1,1,1,1,1
368,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ5091,波音787-9（大型）,11:55,14:15,88%,1,1,1,1,1,1,1
369,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,厦门航空,MF8149,梦想客机波音787（大型）,11:55,14:15,88%,1,1,1,1,1,1,1
370,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU4135,波音737-800（中型）,11:55,14:15,88%,1,1,1,1,1,1,1
371,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,河北航空,NS8149,,11:55,14:15,88%,1,1,1,1,1,1,1
372,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1596,空中客车A321（中型）,12:15,14:35,97%,1,1,1,1,0,1,1
373,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1596,空中客车A321（中型）,12:15,14:35,97%,1,1,1,1,0,1,1
374,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T1,海南航空,HU7278,梦想客机波音787（大型）,12:35,15:05,86%,1,0,0,1,1,1,1
375,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1705,空中客车A320（中型）,12:45,14:55,97%,1,0,1,1,1,1,1
376,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1705,空中客车A320（中型）,12:45,15:05,97%,0,1,0,0,0,0,0
377,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1705,,12:45,14:55,97%,1,0,1,1,1,1,1
378,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1705,,12:45,15:05,97%,0,1,0,0,0,0,0
379,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1717,空中客车A321（中型）,14:30,16:50,98%,1,1,1,1,1,1,1
380,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1717,空中客车A321（中型）,14:30,16:50,98%,1,1,1,1,1,1,1
381,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ9432,空中客车A320（中型）,14:35,16:50,80%,1,0,1,1,0,1,1
382,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ9432,空中客车A320（中型）,14:35,17:00,80%,0,1,0,0,1,0,0
383,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU5457,空中客车A320（中型）,14:35,16:50,80%,1,0,1,1,0,1,1
384,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU5457,空中客车A320（中型）,14:35,17:00,80%,0,1,0,0,1,0,0
385,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1707,空中客车A321（中型）,15:20,17:40,61%,1,1,1,1,1,1,1
386,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1707,空中客车A321（中型）,15:20,17:40,61%,1,1,1,1,1,1,1
387,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ9004,,15:55,18:15,84%,1,0,1,1,0,0,1
388,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU5148,空中客车A320（中型）,15:55,18:15,84%,1,0,1,1,0,0,1
389,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,南方航空,CZ9004,,16:00,18:15,84%,0,1,0,0,1,1,0
390,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU5148,空中客车A320（中型）,16:00,18:15,84%,0,1,0,0,1,1,0
391,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1709,空中客车A330（大型）,16:10,18:30,84%,1,1,1,1,1,1,1
392,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1709,空中客车A321（中型）,16:10,18:30,84%,1,1,1,1,1,1,1
393,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,上海航空,FM9151,波音737-900ER（中型）,16:40,19:10,100%,1,1,1,1,1,1,1
394,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU9151,波音737-900ER（中型）,16:40,19:10,100%,1,1,1,1,1,1,1
395,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1715,空中客车A321（中型）,18:10,20:20,91%,1,1,1,1,1,1,1
396,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1715,空中客车A321（中型）,18:10,20:20,91%,1,1,1,1,1,1,1
397,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T3,长龙航空,GJ8887,空中客车A320（中型）,18:20,20:40,91%,1,1,1,1,1,1,1
398,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T1,海南航空,HU7678,波音737-800（中型）,18:25,20:45,88%,1,1,1,1,1,1,1
399,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1564,空中客车A321（中型）,19:40,22:10,93%,1,1,1,1,1,1,1
400,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1564,空中客车A321（中型）,19:40,22:10,93%,1,1,1,1,1,1,1
401,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T1,首都航空,JD5676,空中客车A330（大型）,19:45,22:05,75%,1,1,1,1,1,1,1
402,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1713,空中客车A321（中型）,21:15,23:35,86%,1,1,1,1,1,1,1
403,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1713,空中客车A321（中型）,21:15,23:35,86%,1,1,1,1,1,1,1
404,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T2,东方航空,MU712,空中客车A330-25（大型）,21:30,23:45,82%,0,0,1,0,1,0,1
405,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,中国国航,CA1566,空中客车A319（中型）,21:55,0:15,-,1,1,1,1,1,1,1
406,杭州,杭州市,浙江省,杭州萧山国际机场T1,北京,,北京市,北京首都国际机场T3,深圳航空,ZH1566,空中客车A319（中型）,21:55,0:15,-,1,1,1,1,1,1,1
407,杭州,杭州市,浙江省,杭州萧山国际机场T3,北京,,北京市,北京首都国际机场T3,四川航空,3U3120,波音777-300ER（大型）,22:20,0:40,-,1,1,1,1,1,1,1
